response,rt,condition,subj_idx
1,2.1,emp,0
1,1.313,emp,0
1,1.403,emp,0
1,1.417,emp,0
1,1.55,emp,0
1,1.151,emp,0
1,1.558,emp,0
1,1.092,emp,0
1,2.074,emp,0
1,1.446,emp,0
1,1.148,emp,0
1,2.093,emp,0
1,1.543,emp,0
1,1.014,emp,0
1,2.319,emp,0
1,1.054,emp,0
1,0.931,emp,0
1,1.039,emp,0
1,1.404,emp,0
1,1.836,emp,0
1,0.716,emp,0
1,1.341,emp,0
0,1.253,emp,0
1,1.201,emp,0
1,1.57,emp,0
1,1.04,emp,0
1,1.248,emp,0
1,1.384,emp,0
0,2.041,emp,0
1,1.142,emp,0
1,1.045,emp,0
1,1.072,emp,0
1,0.915,emp,0
1,1.945,emp,0
1,1.689,emp,0
0,1.656,emp,0
1,1.405,emp,0
1,1.148,emp,0
1,0.955,emp,0
1,0.882,emp,0
1,1.004,emp,0
1,2.321,emp,0
1,2.224,emp,0
1,0.942,emp,0
1,0.882,emp,0
1,1.422,emp,0
1,1.892,emp,0
1,1.224,emp,0
1,2.344,emp,0
1,1.33,emp,0
1,0.981,emp,0
1,1.422,emp,0
1,1.185,emp,0
1,1.549,emp,0
1,1.986,emp,0
1,1.695,emp,0
1,2.202,emp,0
1,1.852,emp,0
1,1.32,emp,0
1,1.77,emp,0
1,1.157,empego,0
1,1.046,empego,0
1,1.045,empego,0
1,0.952,empego,0
1,0.699,empego,0
1,0.679,empego,0
1,0.801,empego,0
1,0.777,empego,0
1,1.096,empego,0
1,0.734,empego,0
1,0.815,empego,0
1,0.805,empego,0
1,0.922,empego,0
1,0.927,empego,0
1,0.806,empego,0
1,0.995,empego,0
1,1.216,empego,0
1,0.812,empego,0
1,0.808,empego,0
1,1.386,empego,0
1,1.055,empego,0
1,0.797,empego,0
1,0.921,empego,0
1,0.733,empego,0
1,1.491,empego,0
1,1.462,empego,0
1,1.552,empego,0
1,2.283,empego,0
1,0.763,empego,0
1,1.152,empego,0
1,1.396,empego,0
1,0.941,empego,0
1,1.361,empego,0
1,1.156,empego,0
1,0.855,empego,0
1,0.763,empego,0
1,1.288,empego,0
1,0.957,empego,0
1,1.16,empego,0
1,1.288,empego,0
1,1.09,empego,0
1,1.511,empego,0
1,0.998,empego,0
1,0.804,empego,0
1,0.929,empego,0
1,1.137,empego,0
1,1.613,empego,0
1,1.039,empego,0
1,1.068,empego,0
1,0.767,empego,0
1,0.781,empego,0
1,0.77,empego,0
1,1.277,empego,0
1,1.261,empego,0
1,1.744,empego,0
1,1.873,empego,0
1,1.231,empego,0
1,0.762,empego,0
1,0.864,empego,0
1,0.949,empego,0
1,1.655,emp,1
0,1.278,emp,1
1,1.357,emp,1
1,0.805,emp,1
1,0.961,emp,1
1,0.969,emp,1
1,1.548,emp,1
1,1.416,emp,1
1,0.929,emp,1
1,1.004,emp,1
1,0.914,emp,1
1,0.873,emp,1
1,1.794,emp,1
1,0.784,emp,1
1,0.969,emp,1
1,1.598,emp,1
1,1.018,emp,1
1,1.898,emp,1
1,1.065,emp,1
1,1.355,emp,1
1,1.203,emp,1
1,2.264,emp,1
1,1.027,emp,1
1,0.967,emp,1
1,3.886,emp,1
1,0.921,emp,1
1,0.724,emp,1
1,1.029,emp,1
1,1.068,emp,1
1,1.391,emp,1
1,1.411,emp,1
0,1.533,emp,1
1,1.243,emp,1
1,1.103,emp,1
1,1.065,emp,1
1,1.81,emp,1
1,1.559,emp,1
1,0.794,emp,1
1,1.546,emp,1
1,1.101,emp,1
1,0.832,emp,1
1,1.457,emp,1
1,3.916,emp,1
1,1.368,emp,1
1,1.096,emp,1
1,0.7,emp,1
1,1.72,emp,1
1,0.865,emp,1
1,1.407,emp,1
1,3.249,emp,1
1,1.012,emp,1
1,1.239,emp,1
1,1.54,emp,1
1,1.085,emp,1
1,0.847,emp,1
1,0.921,emp,1
1,1.837,emp,1
1,0.783,emp,1
1,1.478,empego,1
1,0.95,empego,1
1,1.015,empego,1
1,1.376,empego,1
1,1.349,empego,1
1,0.885,empego,1
0,1.657,empego,1
1,1.054,empego,1
1,0.904,empego,1
1,0.94,empego,1
1,1.536,empego,1
1,0.927,empego,1
1,1.5,empego,1
1,2.741,empego,1
1,1.649,empego,1
0,2.258,empego,1
1,1.791,empego,1
1,0.964,empego,1
1,1.121,empego,1
1,0.98,empego,1
1,1.091,empego,1
1,1.1,empego,1
1,0.876,empego,1
1,1.637,empego,1
1,1.231,empego,1
1,1.087,empego,1
1,1.053,empego,1
1,0.742,empego,1
1,0.859,empego,1
0,1.049,empego,1
1,1.298,empego,1
1,1.039,empego,1
1,1.183,empego,1
1,0.931,empego,1
1,1.586,empego,1
1,1.245,empego,1
1,0.818,empego,1
1,2.514,empego,1
1,1.074,empego,1
1,1.07,empego,1
1,1.504,empego,1
1,1.269,empego,1
1,0.823,empego,1
1,1.572,empego,1
1,0.831,empego,1
1,0.904,empego,1
1,1.257,empego,1
1,1.221,empego,1
1,1.133,empego,1
1,1.126,empego,1
1,1.452,empego,1
1,1.116,empego,1
1,1.012,empego,1
1,1.071,empego,1
1,1.359,empego,1
1,3.377,empego,1
1,1.403,empego,1
1,1.258,empego,1
1,0.886,empego,1
1,1.133,empego,1
1,1.311,emp,2
1,1.731,emp,2
1,2.17,emp,2
1,1.43,emp,2
1,1.797,emp,2
1,1.041,emp,2
1,0.843,emp,2
1,0.88,emp,2
1,1.273,emp,2
1,1.291,emp,2
1,1.005,emp,2
1,1.167,emp,2
1,1.235,emp,2
1,0.896,emp,2
1,0.924,emp,2
1,0.923,emp,2
1,0.723,emp,2
1,1.161,emp,2
1,0.824,emp,2
1,0.851,emp,2
1,0.976,emp,2
1,1.134,emp,2
1,0.922,emp,2
1,0.739,emp,2
1,1.059,emp,2
1,0.729,emp,2
1,0.858,emp,2
1,0.694,emp,2
1,0.904,emp,2
1,1.052,emp,2
1,0.793,emp,2
1,0.686,emp,2
1,0.773,emp,2
1,0.933,emp,2
1,0.976,emp,2
1,0.667,emp,2
1,0.86,emp,2
1,0.757,emp,2
1,1.122,emp,2
1,0.696,emp,2
1,0.905,emp,2
1,0.614,emp,2
1,0.798,emp,2
1,1.302,emp,2
1,0.767,emp,2
1,0.709,emp,2
1,0.749,emp,2
1,0.924,emp,2
1,1.233,emp,2
1,0.712,emp,2
1,0.837,emp,2
1,0.607,emp,2
1,1.278,emp,2
1,0.974,emp,2
1,1.365,emp,2
1,0.795,emp,2
1,0.759,emp,2
1,0.615,emp,2
1,0.464,emp,2
1,0.56,emp,2
1,1.476,empego,2
1,0.712,empego,2
